"Event","Date","White","Black","Result","WhiteElo","BlackElo"
"Aurionpro Mumbai IGM Open",2025-06-17,"Prajit Ravishankar","Gochelashvili,D","0-1",1917,2303
"Aurionpro Mumbai IGM Open",2025-06-18,"Pantsulaia,L","Majumder Shrayan","1-0",2551,2148
"Aurionpro Mumbai IGM Open",2025-06-18,"Daksh Goyal","Petrosyan,M","0-1",2100,2541
"Aurionpro Mumbai IGM Open",2025-06-18,"Paichadze,L","Jaiswal,R","1-0",2529,2081
"Aurionpro Mumbai IGM Open",2025-06-18,"Arnav,Agrawal","Nikitenko,M","0-1",2096,2520
"Aurionpro Mumbai IGM Open",2025-06-18,"Lalith,B","Bajaj,Prakhar","1-0",2499,2080
"Aurionpro Mumbai IGM Open",2025-06-18,"Arshpreet Singh","Gharibyan,Mamikon","0-1",2075,2472
"Aurionpro Mumbai IGM Open",2025-06-18,"Savchenko,B","Alluri Bhaskara Ratna Shanmukha Reddy","1-0",2456,2074
"Aurionpro Mumbai IGM Open",2025-06-18,"Aamuktha Guntaka","Panesar,Vedant","0-1",2068,2456
"Aurionpro Mumbai IGM Open",2025-06-18,"Sanikidze,T","Ziatdinov,R","1-0",2425,2065
"Aurionpro Mumbai IGM Open",2025-06-18,"Guru Prakash","Deepan,C","1/2-1/2",2049,2410
"Aurionpro Mumbai IGM Open",2025-06-18,"Davtyan,Arsen","Boricha Yohan","1-0",2402,2016
"Aurionpro Mumbai IGM Open",2025-06-18,"Sri Charan Sandipagu","Nguyen Duc Hoa","0-1",2018,2378
"Aurionpro Mumbai IGM Open",2025-06-18,"Slizhevsky,A","Om,Nagnath Lamkane","1-0",2372,2015
"Aurionpro Mumbai IGM Open",2025-06-18,"Mridav M","Aleksandrov,A","0-1",2015,2370
"Aurionpro Mumbai IGM Open",2025-06-18,"Fedorov,Alex","Kavinda,A","1-0",2370,2010
"Aurionpro Mumbai IGM Open",2025-06-18,"Ram Vishal Parab","Budhidharma,Nayaka","0-1",2009,2369
"Aurionpro Mumbai IGM Open",2025-06-18,"Neelotpal,D","Samuel Stephen Noble S","1-0",2361,2008
"Aurionpro Mumbai IGM Open",2025-06-18,"Dinesh,Kumar Jaganathan","Nithin,Babu","0-1",2000,2360
"Aurionpro Mumbai IGM Open",2025-06-18,"Nguyen Van Huy","Adhiraj Mitra","1-0",2337,1996
"Aurionpro Mumbai IGM Open",2025-06-18,"Kulkarni,Vin","Tologontegin,S","1/2-1/2",1994,2322
"Aurionpro Mumbai IGM Open",2025-06-18,"Gochelashvili,D","Chaudhari,Ashish","1-0",2303,1990
"Aurionpro Mumbai IGM Open",2025-06-19,"Aleksandrov,A","Pantsulaia,L","1/2-1/2",2370,2551
"Aurionpro Mumbai IGM Open",2025-06-19,"Petrosyan,M","Fedorov,Alex","1-0",2541,2370
"Aurionpro Mumbai IGM Open",2025-06-19,"Budhidharma,Nayaka","Paichadze,L","1/2-1/2",2369,2529
"Aurionpro Mumbai IGM Open",2025-06-19,"Nikitenko,M","Neelotpal,D","1-0",2520,2361
"Aurionpro Mumbai IGM Open",2025-06-19,"Nithin,Babu","Lalith,B","0-1",2360,2499
"Aurionpro Mumbai IGM Open",2025-06-19,"Gharibyan,Mamikon","Nguyen Van Huy","1/2-1/2",2472,2337
"Aurionpro Mumbai IGM Open",2025-06-19,"Saravana,Kr","Savchenko,B","0-1",2272,2456
"Aurionpro Mumbai IGM Open",2025-06-19,"Panesar,Vedant","Gochelashvili,D","1-0",2456,2303
"Aurionpro Mumbai IGM Open",2025-06-19,"Madhesh Kumar S","Sanikidze,T","1-0",2243,2425
"Aurionpro Mumbai IGM Open",2025-06-19,"Soumya,Sw","Davtyan,Arsen","0-1",2232,2402
"Aurionpro Mumbai IGM Open",2025-06-19,"Nguyen Duc Hoa","Sharnarthi Viresh","1-0",2378,2236
"Aurionpro Mumbai IGM Open",2025-06-19,"Advik Amit Agrawal","Slizhevsky,A","1/2-1/2",2218,2372
"Aurionpro Mumbai IGM Open",2025-06-19,"Deepan,C","Sarwat,W","1-0",2410,2053
"Aurionpro Mumbai IGM Open",2025-06-19,"Tologontegin,S","Guru Prakash","1-0",2322,2049
"Aurionpro Mumbai IGM Open",2025-06-19,"Singh,Ar","Gaikwad Manas","1/2-1/2",2055,2232
"Aurionpro Mumbai IGM Open",2025-06-19,"Alekhya,Mukhopadhyay","Badole Shaunak","1-0",2192,2007
