"","Date","AwayTeam","AQ1","AQ2","AQ3","AQ4","AF","HomeTeam","HQ1","HQ2","HQ3","HQ4","HF","Diff","Year","Post_Season"
"441",1229,"Denver",15,21,21,15,72,"Memphis",19,18,16,28,81,9,2013,0
"442",1229,"Phoenix",29,29,29,20,107,"Minnesota",32,32,25,22,111,4,2013,0
"443",1229,"OklahomaCity",31,37,28,28,124,"Houston",26,24,24,20,94,-30,2013,0
"444",1229,"Miami",20,24,27,14,85,"Milwaukee",25,31,13,35,104,19,2013,0
"445",1229,"Philadelphia",23,21,23,18,85,"Portland",30,19,21,19,89,4,2013,0
"446",1229,"Boston",23,17,27,16,83,"GoldenState",29,28,19,25,101,18,2013,0
"447",1230,"Milwaukee",23,22,26,23,94,"Detroit",30,25,23,18,96,2,2013,0
"448",1230,"SanAntonio",27,30,25,29,111,"Dallas",22,23,25,16,86,-25,2013,0
"449",1230,"Boston",18,31,24,23,96,"Sacramento",24,30,30,34,118,22,2013,0
"450",1230,"Utah",24,21,31,20,96,"LAClippers",29,25,25,28,107,11,2013,0
"451",1231,"Memphis",19,22,26,16,83,"Indiana",19,19,22,28,88,5,2013,0
"452",1231,"Charlotte",28,19,18,26,91,"Chicago",18,24,23,16,81,-10,2013,0
"453",1231,"Miami",31,17,22,29,112,"Orlando",22,32,23,22,110,-2,2013,0
"454",1231,"Atlanta",27,19,29,29,104,"Houston",26,38,26,33,123,19,2013,0
"455",1231,"Brooklyn",22,25,5,21,73,"SanAntonio",31,24,30,19,104,31,2013,0
"456",1231,"Phoenix",28,25,25,18,96,"OklahomaCity",32,22,30,30,114,18,2013,0
"457",101,"Dallas",23,25,38,17,103,"Washington",29,23,19,23,94,-9,2013,0
"458",101,"Portland",30,28,20,27,105,"NewYork",23,24,24,29,100,-5,2013,0
"459",101,"Sacramento",28,20,19,30,97,"Detroit",27,31,22,23,103,6,2013,0
"460",101,"Atlanta",22,22,28,23,95,"NewOrleans",26,24,14,22,86,-9,2013,0
"461",101,"LAClippers",19,24,16,19,78,"Denver",21,27,27,17,92,14,2013,0
"462",101,"Philadelphia",28,26,27,22,103,"LALakers",25,25,23,26,99,-4,2013,0
"463",102,"Sacramento",28,24,22,23,97,"Cleveland",25,28,18,23,94,-3,2013,0
"464",102,"Washington",18,21,19,23,81,"Indiana",31,16,20,22,89,8,2013,0
"465",102,"Portland",17,22,22,18,79,"Toronto",24,31,23,24,102,23,2013,0
"466",102,"Chicago",29,25,28,14,96,"Orlando",28,18,25,23,94,-2,2013,0
"467",102,"Dallas",30,22,27,24,109,"Miami",22,28,31,22,119,10,2013,0
"468",102,"Memphis",25,25,25,18,93,"Boston",26,15,18,24,83,-10,2013,0
"469",102,"SanAntonio",33,36,24,24,117,"Milwaukee",22,30,29,29,110,-7,2013,0
